id,condition,manipulation_check,manipulation_check_quantised,Gefen1,Gefen1_quantised,Gefen2,Gefen2_quantised,Gefen3,Gefen3_quantised,Gefen4,Gefen4_quantised,attention3,attention3_quantised,Gefen5,Gefen5_quantised,score
6027fd6deb80d22d739bab75,baseline,Disagree,2,Slightly Agree,5,Slightly Agree,5,Agree,6,Slightly Disagree,3,Strongly Agree,7,Slightly Agree,5,24
60d2390ff923a6bb32ba78a9,baseline,Disagree,2,Neither Agree Nor Disagree,4,Slightly Disagree,3,Neither Agree Nor Disagree,4,Slightly Disagree,3,Strongly Agree,7,Neither Agree Nor Disagree,4,18
600c6dd17a49d53a5f347ceb,baseline,Disagree,2,Agree,6,Slightly Disagree,3,Agree,6,Agree,6,Strongly Agree,7,Agree,6,27
61504fea6e84e5a81f36b68c,baseline,Strongly Agree,7,Slightly Agree,5,Slightly Agree,5,Agree,6,Slightly Agree,5,Strongly Agree,7,Agree,6,27
607c3abee7460a09186f93d7,baseline,Slightly Disagree,3,Slightly Disagree,3,Disagree,2,Slightly Disagree,3,Slightly Disagree,3,Strongly Agree,7,Disagree,2,13
60fd47060f9034b90c94ac08,baseline,Slightly Disagree,3,Slightly Agree,5,Slightly Agree,5,Slightly Agree,5,Agree,6,Strongly Agree,7,Agree,6,27
5dafea4de40355001651fa2f,baseline,Slightly Agree,5,Agree,6,Slightly Agree,5,Agree,6,Agree,6,Strongly Agree,7,Slightly Agree,5,28
5f466020c3a053038da47399,baseline,Agree,6,Agree,6,Agree,6,Slightly Agree,5,Neither Agree Nor Disagree,4,Slightly Agree,5,Agree,6,27
5e1b3b93f07b72359c0c4ffe,baseline,Agree,6,Slightly Agree,5,Slightly Agree,5,Agree,6,Slightly Agree,5,Strongly Agree,7,Agree,6,27
5f69e356d68b93020e622bf2,baseline,Agree,6,Agree,6,Slightly Agree,5,Agree,6,Neither Agree Nor Disagree,4,Strongly Agree,7,Slightly Agree,5,26
610fcec8b6edd17fa96ccdea,baseline,Disagree,2,Agree,6,Agree,6,Strongly Agree,7,Strongly Agree,7,Strongly Agree,7,Agree,6,32
5f3ac1732efa0a74f975b1a8,baseline,Disagree,2,Slightly Agree,5,Disagree,2,Disagree,2,Slightly Disagree,3,Strongly Agree,7,Disagree,2,14
5d0ba121619661001a7f4fe6,baseline,Strongly Disagree,1,Neither Agree Nor Disagree,4,Slightly Agree,5,Neither Agree Nor Disagree,4,Neither Agree Nor Disagree,4,Strongly Agree,7,Slightly Disagree,3,20
61117fa41527530ffbcb5407,baseline,Disagree,2,Agree,6,Agree,6,Slightly Agree,5,Agree,6,Strongly Agree,7,Agree,6,29
602fb33786b077cdbad2d5bb,baseline,Agree,6,Disagree,2,Disagree,2,Disagree,2,Disagree,2,Strongly Agree,7,Slightly Disagree,3,11
614235732a911ae28559d9c3,baseline,Slightly Disagree,3,Agree,6,Agree,6,Slightly Disagree,3,Slightly Agree,5,Strongly Agree,7,Agree,6,26
5eb471789686d82c24661cb3,baseline,Strongly Disagree,1,Slightly Disagree,3,Slightly Disagree,3,Slightly Agree,5,Slightly Disagree,3,Strongly Agree,7,Slightly Disagree,3,17
6066d08253019ea549b1dd37,baseline,Slightly Disagree,3,Strongly Agree,7,Strongly Agree,7,Agree,6,Agree,6,Strongly Agree,7,Agree,6,32
5f3ec6221b5af3158bc86acd,baseline,Disagree,2,Neither Agree Nor Disagree,4,Slightly Disagree,3,Agree,6,Neither Agree Nor Disagree,4,Strongly Agree,7,Neither Agree Nor Disagree,4,21
5f01b7e94738d231487f2911,baseline,Neither Agree Nor Disagree,4,Slightly Agree,5,Disagree,2,Disagree,2,Slightly Disagree,3,Strongly Agree,7,Slightly Agree,5,17
60e45a7bc4730383ee2fecb6,baseline,Disagree,2,Agree,6,Slightly Agree,5,Agree,6,Agree,6,Strongly Agree,7,Agree,6,29
60b87f3ca1dbf6bb340c9bb0,baseline,Strongly Disagree,1,Strongly Disagree,1,Strongly Disagree,1,Strongly Disagree,1,Strongly Disagree,1,Strongly Agree,7,Strongly Disagree,1,5
5887951f5b971900013a03c0,baseline,Strongly Disagree,1,Slightly Disagree,3,Slightly Disagree,3,Neither Agree Nor Disagree,4,Slightly Disagree,3,Strongly Agree,7,Slightly Disagree,3,16
57308d1530a5560010ecbc1a,baseline,Disagree,2,Agree,6,Agree,6,Agree,6,Agree,6,Strongly Agree,7,Agree,6,30
61656042f505fd7fa53e8628,baseline,Agree,6,Agree,6,Slightly Agree,5,Agree,6,Agree,6,Strongly Agree,7,Agree,6,29
608549f6036bd34b437f7edd,baseline,Agree,6,Agree,6,Neither Agree Nor Disagree,4,Disagree,2,Slightly Disagree,3,Strongly Agree,7,Slightly Disagree,3,18
61762459ed00ae091deb6a62,baseline,Neither Agree Nor Disagree,4,Slightly Agree,5,Slightly Disagree,3,Slightly Disagree,3,Slightly Disagree,3,Strongly Agree,7,Slightly Agree,5,19
5d891cd0a592de000185ca5b,baseline,Strongly Disagree,1,Slightly Disagree,3,Disagree,2,Strongly Disagree,1,Strongly Disagree,1,Strongly Agree,7,Slightly Disagree,3,10
5e9e00da6798b9191d299a0e,baseline,Strongly Disagree,1,Disagree,2,Slightly Agree,5,Slightly Disagree,3,Disagree,2,Strongly Agree,7,Slightly Agree,5,17
61460488fc1bdf4d2c8ce1db,baseline,Disagree,2,Agree,6,Slightly Agree,5,Agree,6,Agree,6,Strongly Agree,7,Agree,6,29
60723c224e9193e5d5fe5712,baseline,Disagree,2,Slightly Disagree,3,Slightly Disagree,3,Slightly Disagree,3,Slightly Disagree,3,Strongly Agree,7,Slightly Disagree,3,15
600463555dafb42a777cf5a3,baseline,Disagree,2,Slightly Disagree,3,Slightly Disagree,3,Slightly Agree,5,Neither Agree Nor Disagree,4,Strongly Agree,7,Slightly Agree,5,20
615de3b0acc045c2cc4a4b0b,baseline,Strongly Disagree,1,Agree,6,Slightly Agree,5,Agree,6,Agree,6,Strongly Agree,7,Agree,6,29
60205f5ba5fe0165fa0e5e01,baseline,Slightly Agree,5,Disagree,2,Disagree,2,Strongly Disagree,1,Slightly Disagree,3,Strongly Agree,7,Slightly Agree,5,13
60aa4b9356c591511cc09f5f,baseline,Neither Agree Nor Disagree,4,Slightly Disagree,3,Slightly Disagree,3,Slightly Disagree,3,Slightly Disagree,3,Strongly Agree,7,Slightly Agree,5,17
5f6ce3aa36f6181177e93f0f,baseline,Strongly Disagree,1,Strongly Agree,7,Agree,6,Agree,6,Slightly Agree,5,Strongly Agree,7,Strongly Agree,7,31
6167f3312a86e4451d445555,baseline,Agree,6,Strongly Agree,7,Agree,6,Strongly Agree,7,Agree,6,Strongly Agree,7,Agree,6,32
608865216bc2e88526195ea2,baseline,Slightly Agree,5,Agree,6,Slightly Agree,5,Slightly Disagree,3,Slightly Disagree,3,Strongly Agree,7,Agree,6,23
60367a2b217a7583d5e5ab03,baseline,Disagree,2,Strongly Disagree,1,Disagree,2,Strongly Disagree,1,Disagree,2,Strongly Agree,7,Disagree,2,8
5f7014ba8655415e9dddc1b7,baseline,Strongly Disagree,1,Agree,6,Agree,6,Slightly Agree,5,Agree,6,Strongly Agree,7,Agree,6,29
5ee23a0d9586fe6a598e58ea,baseline,Strongly Disagree,1,Agree,6,Agree,6,Strongly Agree,7,Slightly Agree,5,Strongly Agree,7,Agree,6,30
55885582fdf99b4021921fbd,baseline,Strongly Disagree,1,Agree,6,Slightly Disagree,3,Agree,6,Agree,6,Strongly Agree,7,Agree,6,27
61012cbdaef76ce92c412ce2,baseline,Strongly Disagree,1,Disagree,2,Slightly Disagree,3,Disagree,2,Strongly Disagree,1,Strongly Agree,7,Agree,6,14
612d7b5dbc8a6457965c1034,baseline,Disagree,2,Slightly Agree,5,Agree,6,Slightly Disagree,3,Disagree,2,Strongly Agree,7,Neither Agree Nor Disagree,4,20
616592e7987b8cd9c3da71e1,baseline,Strongly Disagree,1,Slightly Disagree,3,Slightly Disagree,3,Slightly Disagree,3,Slightly Disagree,3,Strongly Agree,7,Slightly Disagree,3,15
5ee2e409ed87f4471d21b85e,baseline,Agree,6,Agree,6,Agree,6,Slightly Agree,5,Agree,6,Strongly Agree,7,Agree,6,29
5c5df997d7b842000156544f,baseline,Agree,6,Strongly Agree,7,Strongly Agree,7,Strongly Agree,7,Agree,6,Strongly Agree,7,Strongly Agree,7,34
5d8d03a1704e2300160ec8a6,baseline,Strongly Disagree,1,Strongly Agree,7,Agree,6,Strongly Agree,7,Strongly Agree,7,Strongly Agree,7,Strongly Agree,7,34
5f591c6d75be841230aa6ced,baseline,Strongly Disagree,1,Slightly Agree,5,Slightly Disagree,3,Neither Agree Nor Disagree,4,Slightly Disagree,3,Strongly Agree,7,Slightly Agree,5,20
6141f62294ff9bf9d89e8897,baseline,Disagree,2,Slightly Disagree,3,Disagree,2,Slightly Disagree,3,Disagree,2,Strongly Agree,7,Neither Agree Nor Disagree,4,14
5de311645feb6e33b01682db,baseline,Disagree,2,Slightly Disagree,3,Slightly Disagree,3,Slightly Agree,5,Slightly Agree,5,Strongly Agree,7,Slightly Disagree,3,19
5ecd36e81117f0062700bb7f,baseline,Strongly Agree,7,Agree,6,Agree,6,Strongly Disagree,1,Slightly Disagree,3,Strongly Agree,7,Agree,6,22
