id,sex,eth,eng,exp_date,interact_before,percieved_robot_gender,item,robot_expression,ppt_resp,time,ppt_acc
47,Male,White,Yes,05/10/2017,Never,Female,Oatmeal,2,Like,43:06:00,Correct
47,Male,White,Yes,05/10/2017,Never,Female,Toast,1,Like,43:24:00,Correct
48,Female,Asian,Yes,05/10/2017,Never,Male,Oatmeal,1,Like,10:51:00,Correct
48,Female,Asian,Yes,05/10/2017,Never,Male,Milk,2,Like,11:09:00,Correct
48,Female,Asian,Yes,05/10/2017,Never,Male,Toast,3,Dislike,11:29:00,Correct
48,Female,Asian,Yes,05/10/2017,Never,Male,Croissant,4,Dislike,11:47:00,Correct
49,Male,Asian,No,06/10/2017,Never,Male,Toast,1,Dislike,25:12:00,Incorrect
49,Male,Asian,No,06/10/2017,Never,Male,Croissant,2,Like,25:33:00,Correct
49,Male,Asian,No,06/10/2017,Never,Male,Beans,4,Dislike,25:51:00,Correct
49,Male,Asian,No,06/10/2017,Never,Male,Milk,3,Like,26:11:00,Incorrect
5,Female,Asian,No,06/09/2017,Never,Male,Oatmeal,1,Like,05:20:00,Correct
5,Female,Asian,No,06/09/2017,Never,Male,Beans,4,Miss,05:45:00,Incorrect
5,Female,Asian,No,06/09/2017,Never,Male,Milk,2,Dislike,06:11:00,Incorrect
5,Female,Asian,No,06/09/2017,Never,Male,Croissant,3,Like,06:28:00,Incorrect
50,Male,Asian,No,06/10/2017,Once or twice,Female,Croissant,1,Like,15:26:00,Correct
50,Male,Asian,No,06/10/2017,Once or twice,Female,Toast,3,Dislike,15:54:00,Correct
50,Male,Asian,No,06/10/2017,Once or twice,Female,Beans,2,Like,16:19:00,Correct
50,Male,Asian,No,06/10/2017,Once or twice,Female,Oatmeal,4,Dislike,16:51:00,Correct
51,Female,White,Yes,06/10/2017,Never,Female,Beans,1,Like,04:41:00,Correct
51,Female,White,Yes,06/10/2017,Never,Female,Milk,3,Dislike,05:05:00,Correct
51,Female,White,Yes,06/10/2017,Never,Female,Oatmeal,4,Dislike,05:25:00,Correct
51,Female,White,Yes,06/10/2017,Never,Female,Toast,2,Dislike,05:48:00,Incorrect
52,Male,White,No,06/10/2017,Never,Female,Beans,1,Dislike,47:41:00,Incorrect
52,Male,White,No,06/10/2017,Never,Female,Oatmeal,4,Dislike,48:03:00,Correct
52,Male,White,No,06/10/2017,Never,Female,Croissant,2,Like,48:23:00,Correct
52,Male,White,No,06/10/2017,Never,Female,Toast,3,Dislike,48:41:00,Correct
53,Female,Asian,Yes,06/10/2017,Never,Female,Milk,1,Like,17:42:00,Correct
53,Female,Asian,Yes,06/10/2017,Never,Female,Oatmeal,4,Dislike,18:05:00,Correct
53,Female,Asian,Yes,06/10/2017,Never,Female,Toast,3,Dislike,18:24:00,Correct
53,Female,Asian,Yes,06/10/2017,Never,Female,Beans,2,Like,18:41:00,Correct
54,Male,Arab,No,09/10/2017,Once or twice,Male,Croissant,2,Like,14:38:00,Correct
54,Male,Arab,No,09/10/2017,Once or twice,Male,Milk,1,Like,14:59:00,Correct
54,Male,Arab,No,09/10/2017,Once or twice,Male,Toast,3,Dislike,15:17:00,Correct
54,Male,Arab,No,09/10/2017,Once or twice,Male,Oatmeal,4,Dislike,15:36:00,Correct
55,Female,Asian,Yes,09/10/2017,Never,Female,Beans,2,Like,22:34:00,Correct
55,Female,Asian,Yes,09/10/2017,Never,Female,Oatmeal,1,Dislike,23:00:00,Incorrect
55,Female,Asian,Yes,09/10/2017,Never,Female,Milk,4,Dislike,23:18:00,Correct
55,Female,Asian,Yes,09/10/2017,Never,Female,Toast,3,Dislike,23:36:00,Correct
56,Male,White,No,10/10/2017,Once or twice,Female,Milk,2,Dislike,07:43:00,Incorrect
56,Male,White,No,10/10/2017,Once or twice,Female,Croissant,3,Dislike,08:24:00,Correct
