id,condition,trial,rt,follow_robot,accuracy,conf,data_source,group,rt_mean,conf_mean,follow_freq,5_conf,10_conf,5_rt,10_rt,5_follow,10_follow
605cb63dd75eb9e91007bd52,No-ToM,Trial 9,1490.1000000238414,follow,correct,100,trial,trustor,2071.7200000047683,91.6,10,100,50,1694.400000035763,1439.3000000119205,follow,follow
605cb63dd75eb9e91007bd52,No-ToM,Assessment of Trust,1439.3000000119205,follow,correct,50,trial,trustor,2071.7200000047683,91.6,10,100,50,1694.400000035763,1439.3000000119205,follow,follow
605e14202c3a566911baccda,ToM,Trial 1,5252.800000011923,follow,correct,100,trial,trustor,2922.0600000023846,95.6,10,100,87,11217,3229.899999976159,follow,follow
605e14202c3a566911baccda,ToM,Trial 2,1143.0999999642377,follow,correct,100,trial,trustor,2922.0600000023846,95.6,10,100,87,11217,3229.899999976159,follow,follow
605e14202c3a566911baccda,ToM,Trial 3,2612.7000000476837,follow,correct,100,attention,trustor,2922.0600000023846,95.6,10,100,87,11217,3229.899999976159,follow,follow
605e14202c3a566911baccda,ToM,Trial 4,2070.100000023841,follow,correct,69,trial,trustor,2922.0600000023846,95.6,10,100,87,11217,3229.899999976159,follow,follow
605e14202c3a566911baccda,ToM,Breaking of Trust,11217,follow,correct,100,trial,trustor,2922.0600000023846,95.6,10,100,87,11217,3229.899999976159,follow,follow
605e14202c3a566911baccda,ToM,Trial 6,740.5,follow,correct,100,trial,trustor,2922.0600000023846,95.6,10,100,87,11217,3229.899999976159,follow,follow
605e14202c3a566911baccda,ToM,Trial 7,949.1999999880793,follow,correct,100,attention,trustor,2922.0600000023846,95.6,10,100,87,11217,3229.899999976159,follow,follow
605e14202c3a566911baccda,ToM,Trial 8,815.6000000238421,follow,correct,100,trial,trustor,2922.0600000023846,95.6,10,100,87,11217,3229.899999976159,follow,follow
605e14202c3a566911baccda,ToM,Trial 9,1189.699999988079,follow,correct,100,trial,trustor,2922.0600000023846,95.6,10,100,87,11217,3229.899999976159,follow,follow
605e14202c3a566911baccda,ToM,Assessment of Trust,3229.899999976159,follow,correct,87,trial,trustor,2922.0600000023846,95.6,10,100,87,11217,3229.899999976159,follow,follow
6061aaa4240115afd962c429,No-ToM,Trial 1,2262.699999988079,follow,correct,100,trial,trustor,1487.440000000596,86,10,100,100,956.6999999880793,856.3000000119207,follow,follow
6061aaa4240115afd962c429,No-ToM,Trial 2,1387.799999982119,follow,correct,100,trial,trustor,1487.440000000596,86,10,100,100,956.6999999880793,856.3000000119207,follow,follow
6061aaa4240115afd962c429,No-ToM,Trial 3,3643.0999999940395,follow,correct,100,attention,trustor,1487.440000000596,86,10,100,100,956.6999999880793,856.3000000119207,follow,follow
6061aaa4240115afd962c429,No-ToM,Trial 4,1853.8000000119205,follow,correct,55,trial,trustor,1487.440000000596,86,10,100,100,956.6999999880793,856.3000000119207,follow,follow
6061aaa4240115afd962c429,No-ToM,Breaking of Trust,956.6999999880793,follow,correct,100,trial,trustor,1487.440000000596,86,10,100,100,956.6999999880793,856.3000000119207,follow,follow
6061aaa4240115afd962c429,No-ToM,Trial 6,881.0999999940394,follow,correct,62,trial,trustor,1487.440000000596,86,10,100,100,956.6999999880793,856.3000000119207,follow,follow
6061aaa4240115afd962c429,No-ToM,Trial 7,933.3000000119207,follow,correct,77,attention,trustor,1487.440000000596,86,10,100,100,956.6999999880793,856.3000000119207,follow,follow
6061aaa4240115afd962c429,No-ToM,Trial 8,1406.700000017881,follow,correct,66,trial,trustor,1487.440000000596,86,10,100,100,956.6999999880793,856.3000000119207,follow,follow
6061aaa4240115afd962c429,No-ToM,Trial 9,692.9000000059604,follow,correct,100,trial,trustor,1487.440000000596,86,10,100,100,956.6999999880793,856.3000000119207,follow,follow
6061aaa4240115afd962c429,No-ToM,Assessment of Trust,856.3000000119207,follow,correct,100,trial,trustor,1487.440000000596,86,10,100,100,956.6999999880793,856.3000000119207,follow,follow
60633a950aeb96e90172a92b,No-ToM,Trial 1,1707.699999988079,follow,correct,82,trial,trust_loser,6298.0999999880805,88.1,7,93,87,1044.199999988079,2157.199999988079,follow,not_follow
60633a950aeb96e90172a92b,No-ToM,Trial 2,1603.5999999642377,follow,correct,83,trial,trust_loser,6298.0999999880805,88.1,7,93,87,1044.199999988079,2157.199999988079,follow,not_follow
60633a950aeb96e90172a92b,No-ToM,Trial 3,11674.600000023842,not_follow,incorrect,92,attention,trust_loser,6298.0999999880805,88.1,7,93,87,1044.199999988079,2157.199999988079,follow,not_follow
60633a950aeb96e90172a92b,No-ToM,Trial 4,890.3999999761585,follow,correct,84,trial,trust_loser,6298.0999999880805,88.1,7,93,87,1044.199999988079,2157.199999988079,follow,not_follow
60633a950aeb96e90172a92b,No-ToM,Breaking of Trust,1044.199999988079,follow,correct,93,trial,trust_loser,6298.0999999880805,88.1,7,93,87,1044.199999988079,2157.199999988079,follow,not_follow
60633a950aeb96e90172a92b,No-ToM,Trial 6,2628.699999988079,follow,correct,93,trial,trust_loser,6298.0999999880805,88.1,7,93,87,1044.199999988079,2157.199999988079,follow,not_follow
60633a950aeb96e90172a92b,No-ToM,Trial 7,39328.39999997617,not_follow,incorrect,85,attention,trust_loser,6298.0999999880805,88.1,7,93,87,1044.199999988079,2157.199999988079,follow,not_follow
60633a950aeb96e90172a92b,No-ToM,Trial 8,894.1000000238421,follow,correct,91,trial,trust_loser,6298.0999999880805,88.1,7,93,87,1044.199999988079,2157.199999988079,follow,not_follow
60633a950aeb96e90172a92b,No-ToM,Trial 9,1052.0999999642377,follow,correct,91,trial,trust_loser,6298.0999999880805,88.1,7,93,87,1044.199999988079,2157.199999988079,follow,not_follow
60633a950aeb96e90172a92b,No-ToM,Assessment of Trust,2157.199999988079,not_follow,incorrect,87,trial,trust_loser,6298.0999999880805,88.1,7,93,87,1044.199999988079,2157.199999988079,follow,not_follow
60662363a87cfcb1d2dc6ff7,ToM,Trial 1,5454.600000000093,follow,correct,78,trial,trust_loser,4629.009999999963,86.5,8,100,87,1060.0999999996275,28359.5,follow,not_follow
60662363a87cfcb1d2dc6ff7,ToM,Trial 2,2345.7000000001863,follow,correct,91,trial,trust_loser,4629.009999999963,86.5,8,100,87,1060.0999999996275,28359.5,follow,not_follow
60662363a87cfcb1d2dc6ff7,ToM,Trial 3,2783.2999999998137,follow,correct,89,attention,trust_loser,4629.009999999963,86.5,8,100,87,1060.0999999996275,28359.5,follow,not_follow
60662363a87cfcb1d2dc6ff7,ToM,Trial 4,1059.2999999998133,follow,correct,86,trial,trust_loser,4629.009999999963,86.5,8,100,87,1060.0999999996275,28359.5,follow,not_follow
60662363a87cfcb1d2dc6ff7,ToM,Breaking of Trust,1060.0999999996275,follow,correct,100,trial,trust_loser,4629.009999999963,86.5,8,100,87,1060.0999999996275,28359.5,follow,not_follow
60662363a87cfcb1d2dc6ff7,ToM,Trial 6,909.7000000001866,follow,correct,73,trial,trust_loser,4629.009999999963,86.5,8,100,87,1060.0999999996275,28359.5,follow,not_follow
60662363a87cfcb1d2dc6ff7,ToM,Trial 7,1413.8999999999064,follow,correct,80,attention,trust_loser,4629.009999999963,86.5,8,100,87,1060.0999999996275,28359.5,follow,not_follow
60662363a87cfcb1d2dc6ff7,ToM,Trial 8,1796.4000000003725,not_follow,incorrect,81,trial,trust_loser,4629.009999999963,86.5,8,100,87,1060.0999999996275,28359.5,follow,not_follow
60662363a87cfcb1d2dc6ff7,ToM,Trial 9,1107.5999999996275,follow,correct,100,trial,trust_loser,4629.009999999963,86.5,8,100,87,1060.0999999996275,28359.5,follow,not_follow
60662363a87cfcb1d2dc6ff7,ToM,Assessment of Trust,28359.5,not_follow,incorrect,87,trial,trust_loser,4629.009999999963,86.5,8,100,87,1060.0999999996275,28359.5,follow,not_follow
60664ccd3d950919f3df7475,ToM,Trial 1,1018,follow,correct,89,trial,trust_loser,1470.5599999785422,72.6,8,65,63,2833,1096.7999999523158,follow,not_follow
60664ccd3d950919f3df7475,ToM,Trial 2,703.20000004768394,follow,correct,87,trial,trust_loser,1470.5599999785422,72.6,8,65,63,2833,1096.7999999523158,follow,not_follow
60664ccd3d950919f3df7475,ToM,Trial 3,3481.5,not_follow,incorrect,70,attention,trust_loser,1470.5599999785422,72.6,8,65,63,2833,1096.7999999523158,follow,not_follow
60664ccd3d950919f3df7475,ToM,Trial 4,907.7999999523166,follow,correct,52,trial,trust_loser,1470.5599999785422,72.6,8,65,63,2833,1096.7999999523158,follow,not_follow
60664ccd3d950919f3df7475,ToM,Breaking of Trust,2833,follow,correct,65,trial,trust_loser,1470.5599999785422,72.6,8,65,63,2833,1096.7999999523158,follow,not_follow
60664ccd3d950919f3df7475,ToM,Trial 6,766.6000000238421,follow,correct,79,trial,trust_loser,1470.5599999785422,72.6,8,65,63,2833,1096.7999999523158,follow,not_follow
60664ccd3d950919f3df7475,ToM,Trial 7,1143.2999999523158,follow,correct,82,attention,trust_loser,1470.5599999785422,72.6,8,65,63,2833,1096.7999999523158,follow,not_follow
60664ccd3d950919f3df7475,ToM,Trial 8,846.5999999046328,follow,correct,72,trial,trust_loser,1470.5599999785422,72.6,8,65,63,2833,1096.7999999523158,follow,not_follow
60664ccd3d950919f3df7475,ToM,Trial 9,1908.7999999523158,follow,correct,67,trial,trust_loser,1470.5599999785422,72.6,8,65,63,2833,1096.7999999523158,follow,not_follow
60664ccd3d950919f3df7475,ToM,Assessment of Trust,1096.7999999523158,not_follow,incorrect,63,trial,trust_loser,1470.5599999785422,72.6,8,65,63,2833,1096.7999999523158,follow,not_follow
606e2099c130d8430c1472d9,ToM,Trial 1,1954.4899999164045,follow,correct,100,trial,trust_loser,1752.0370000158437,100,9,100,100,2215.624999953434,2392.100000055507,follow,not_follow
606e2099c130d8430c1472d9,ToM,Trial 2,766.1500000394881,follow,correct,100,trial,trust_loser,1752.0370000158437,100,9,100,100,2215.624999953434,2392.100000055507,follow,not_follow
606e2099c130d8430c1472d9,ToM,Trial 3,2049.780000001191,follow,correct,100,attention,trust_loser,1752.0370000158437,100,9,100,100,2215.624999953434,2392.100000055507,follow,not_follow
606e2099c130d8430c1472d9,ToM,Trial 4,1258.350000018254,follow,correct,100,trial,trust_loser,1752.0370000158437,100,9,100,100,2215.624999953434,2392.100000055507,follow,not_follow
606e2099c130d8430c1472d9,ToM,Breaking of Trust,2215.624999953434,follow,correct,100,trial,trust_loser,1752.0370000158437,100,9,100,100,2215.624999953434,2392.100000055507,follow,not_follow
606e2099c130d8430c1472d9,ToM,Trial 6,1707.7650000574063,follow,correct,100,trial,trust_loser,1752.0370000158437,100,9,100,100,2215.624999953434,2392.100000055507,follow,not_follow
606e2099c130d8430c1472d9,ToM,Trial 7,1581.6300000296906,follow,correct,100,attention,trust_loser,1752.0370000158437,100,9,100,100,2215.624999953434,2392.100000055507,follow,not_follow
606e2099c130d8430c1472d9,ToM,Trial 8,2465.3350000735386,follow,correct,100,trial,trust_loser,1752.0370000158437,100,9,100,100,2215.624999953434,2392.100000055507,follow,not_follow
606e2099c130d8430c1472d9,ToM,Trial 9,1129.1450000135228,follow,correct,100,trial,trust_loser,1752.0370000158437,100,9,100,100,2215.624999953434,2392.100000055507,follow,not_follow
606e2099c130d8430c1472d9,ToM,Assessment of Trust,2392.100000055507,not_follow,incorrect,100,trial,trust_loser,1752.0370000158437,100,9,100,100,2215.624999953434,2392.100000055507,follow,not_follow
606e22e5312c3b75b4de9c36,ToM,Trial 1,2550.2999999998137,follow,correct,100,trial,trustor,5880.570000000204,87.4,10,51,73,16423.700000000186,20347.5,follow,follow
606e22e5312c3b75b4de9c36,ToM,Trial 2,1551,follow,correct,50,trial,trustor,5880.570000000204,87.4,10,51,73,16423.700000000186,20347.5,follow,follow
606e22e5312c3b75b4de9c36,ToM,Trial 3,9821.29999999981,follow,correct,100,attention,trustor,5880.570000000204,87.4,10,51,73,16423.700000000186,20347.5,follow,follow
606e22e5312c3b75b4de9c36,ToM,Trial 4,1703.800000000745,follow,correct,100,trial,trustor,5880.570000000204,87.4,10,51,73,16423.700000000186,20347.5,follow,follow
606e22e5312c3b75b4de9c36,ToM,Breaking of Trust,16423.700000000186,follow,correct,51,trial,trustor,5880.570000000204,87.4,10,51,73,16423.700000000186,20347.5,follow,follow
606e22e5312c3b75b4de9c36,ToM,Trial 6,1656.1000000005588,follow,correct,100,trial,trustor,5880.570000000204,87.4,10,51,73,16423.700000000186,20347.5,follow,follow
606e22e5312c3b75b4de9c36,ToM,Trial 7,1786.1000000005588,follow,correct,100,attention,trustor,5880.570000000204,87.4,10,51,73,16423.700000000186,20347.5,follow,follow
606e22e5312c3b75b4de9c36,ToM,Trial 8,2021,follow,correct,100,trial,trustor,5880.570000000204,87.4,10,51,73,16423.700000000186,20347.5,follow,follow
606e22e5312c3b75b4de9c36,ToM,Trial 9,944.9000000003725,follow,correct,100,trial,trustor,5880.570000000204,87.4,10,51,73,16423.700000000186,20347.5,follow,follow
606e22e5312c3b75b4de9c36,ToM,Assessment of Trust,20347.5,follow,correct,73,trial,trustor,5880.570000000204,87.4,10,51,73,16423.700000000186,20347.5,follow,follow
60748361582deab23a76e83a,ToM,Trial 1,2623.899999998511,follow,correct,100,trial,trust_loser,22130.089999999105,86,7,74,95,1009.6000000014901,3143.10000000149,follow,not_follow
60748361582deab23a76e83a,ToM,Trial 2,1039.1999999955297,not_follow,incorrect,100,trial,trust_loser,22130.089999999105,86,7,74,95,1009.6000000014901,3143.10000000149,follow,not_follow
60748361582deab23a76e83a,ToM,Trial 3,142564.69999999553,follow,correct,95,attention,trust_loser,22130.089999999105,86,7,74,95,1009.6000000014901,3143.10000000149,follow,not_follow
60748361582deab23a76e83a,ToM,Trial 4,1708.8999999985099,not_follow,incorrect,54,trial,trust_loser,22130.089999999105,86,7,74,95,1009.6000000014901,3143.10000000149,follow,not_follow
60748361582deab23a76e83a,ToM,Breaking of Trust,1009.6000000014901,follow,correct,74,trial,trust_loser,22130.089999999105,86,7,74,95,1009.6000000014901,3143.10000000149,follow,not_follow
60748361582deab23a76e83a,ToM,Trial 6,1178,follow,correct,89,trial,trust_loser,22130.089999999105,86,7,74,95,1009.6000000014901,3143.10000000149,follow,not_follow
60748361582deab23a76e83a,ToM,Trial 7,35939.70000000298,follow,correct,78,attention,trust_loser,22130.089999999105,86,7,74,95,1009.6000000014901,3143.10000000149,follow,not_follow
60748361582deab23a76e83a,ToM,Trial 8,30987.199999995515,follow,correct,95,trial,trust_loser,22130.089999999105,86,7,74,95,1009.6000000014901,3143.10000000149,follow,not_follow
60748361582deab23a76e83a,ToM,Trial 9,1106.60000000149,follow,correct,80,trial,trust_loser,22130.089999999105,86,7,74,95,1009.6000000014901,3143.10000000149,follow,not_follow
60748361582deab23a76e83a,ToM,Assessment of Trust,3143.10000000149,not_follow,incorrect,95,trial,trust_loser,22130.089999999105,86,7,74,95,1009.6000000014901,3143.10000000149,follow,not_follow
6076bf5854c0fd2915867db8,No-ToM,Trial 1,991.4000000357628,follow,correct,100,trial,trust_loser,1871.7900000095367,100,9,100,100,1185.399999976158,570.1000000238421,follow,not_follow
6076bf5854c0fd2915867db8,No-ToM,Trial 2,1723.199999988079,follow,correct,100,trial,trust_loser,1871.7900000095367,100,9,100,100,1185.399999976158,570.1000000238421,follow,not_follow
6076bf5854c0fd2915867db8,No-ToM,Trial 3,5113.5,follow,correct,100,attention,trust_loser,1871.7900000095367,100,9,100,100,1185.399999976158,570.1000000238421,follow,not_follow
6076bf5854c0fd2915867db8,No-ToM,Trial 4,946,follow,correct,100,trial,trust_loser,1871.7900000095367,100,9,100,100,1185.399999976158,570.1000000238421,follow,not_follow
6076bf5854c0fd2915867db8,No-ToM,Breaking of Trust,1185.399999976158,follow,correct,100,trial,trust_loser,1871.7900000095367,100,9,100,100,1185.399999976158,570.1000000238421,follow,not_follow
